"unit_id";"unit_name";"unit_type";"capacity";"price_per_night";"description";"photo"
1;"Luxury Tent 1";"tent";2;150.0;"Luxury tent with private bath";"tent.png"
2;"Luxury Tent 2";"tent";2;160.0;"Luxury tent with forest view";"pic1.jpg"
3;"Cozy Cabin 1";"cabin";4;200.0;"Cozy wooden cabin";"cabin.png"
4;"Cozy Cabin 2";"cabin";4;210.0;"Spacious cabin with fireplace";"pic2.jpg"
5;"Yurt Retreat 1";"yurt";3;175.0;"Yurt with mountain view";"yurt.png"
6;"Yurt Retreat 2";"yurt";3;185.0;"Traditional yurt near the river";"pic3.jpg"
7;"Treehouse Escape 1";"treehouse";2;300.0;"Treehouse in the forest";"i.png"
8;"Treehouse Escape 2";"treehouse";2;320.0;"Romantic treehouse with balcony";"pic4.jpg"
9;"Luxury Tent 3";"tent";2;155.0;"Tent with king-size bed and private deck";"pic5.jpg"
10;"Cozy Cabin 3";"cabin";5;220.0;"Large cabin for families";"pic6.jpg"
11;"Yurt Experience 1";"yurt";3;170.0;"Traditional yurt in the forest";"pic7.jpg"
12;"Yurt Experience 2";"yurt";4;195.0;"Large yurt with family amenities";"pic8.jpg"
13;"Luxury Tent 4";"tent";2;165.0;"Tent with private hot tub";"pic9.jpg"
14;"Luxury Tent 5";"tent";2;175.0;"Deluxe tent with mountain view";"pic10.jpg"
15;"Cozy Cabin 4";"cabin";4;210.0;"Cabin with fireplace and lake view";"pic11.jpg"
16;"Treehouse Hideaway 1";"treehouse";2;310.0;"Treehouse with ocean view";"pic12.jpg"
17;"Treehouse Hideaway 2";"treehouse";2;330.0;"Treehouse with hanging bridge";"pic13.jpg"
18;"Yurt Adventure 1";"yurt";3;180.0;"Yurt near waterfall";"pic14.jpg"
19;"Luxury Tent 6";"tent";2;160.0;"Tent with outdoor shower";"pic15.jpg"
20;"Luxury Tent 7";"tent";2;170.0;"Tent with private garden";"pic16.jpg"
21;"Cozy Cabin 5";"cabin";4;215.0;"Cabin with hot tub";"pic17.jpg"
22;"Treehouse Retreat 1";"treehouse";2;290.0;"Treehouse with forest view";"pic18.jpg"
23;"Yurt Experience 3";"yurt";3;175.0;"Yurt with panoramic windows";"pic19.jpg"
24;"Luxury Tent 8";"tent";2;155.0;"Tent with skyview";"pic20.jpg"
25;"Luxury Tent 9";"tent";2;160.0;"Tent with luxury furnishings";"pic21.jpg"
26;"Cozy Cabin 6";"cabin";5;225.0;"Cabin with barbecue area";"pic22.jpg"
27;"Yurt Retreat 3";"yurt";4;190.0;"Family yurt near lake";"pic23.jpg"
28;"Treehouse Sanctuary 1";"treehouse";2;315.0;"Treehouse with rope swing";"pic24.jpg"
29;"Luxury Tent 10";"tent";2;170.0;"Tent with private balcony";"pic25.jpg"
30;"Luxury Tent 11";"tent";2;165.0;"Tent with private hammock";"pic26.jpg"
31;"Cozy Cabin 7";"cabin";4;230.0;"Cabin with pool";"pic27.jpg"
32;"Yurt Experience 4";"yurt";3;180.0;"Yurt with hot springs nearby";"pic28.jpg"
33;"Luxury Tent 12";"tent";2;175.0;"Tent with stargazing roof";"pic29.jpg"
34;"Luxury Tent 13";"tent";2;160.0;"Tent with waterfall view";"pic30.jpg"
35;"Cozy Cabin 8";"cabin";6;240.0;"Large cabin with two bedrooms";"pic31.jpg"
36;"Yurt Adventure 2";"yurt";3;185.0;"Yurt near hiking trails";"pic32.jpg"
37;"Treehouse Getaway 1";"treehouse";2;325.0;"Treehouse with full kitchen";"pic33.jpg"
38;"Luxury Tent 14";"tent";2;165.0;"Tent with outdoor bath";"pic2.jpg"
39;"Cozy Cabin 9";"cabin";4;220.0;"Cabin with wood-burning stove";"cabin.png"
40;"Yurt Experience 5";"yurt";3;175.0;"Yurt with glass ceiling";"yurt.png"
41;"Luxury Tent 15";"tent";2;170.0;"Tent with forest view";"tent.png"
42;"Treehouse Hideaway 3";"treehouse";2;320.0;"Treehouse with sun deck";"i.png"
43;"Cozy Cabin 10";"cabin";5;235.0;"Cabin with private pool";"pic3.jpg"
44;"Yurt Retreat 4";"yurt";4;195.0;"Luxury yurt near mountains";"pic5.jpg"
45;"Luxury Tent 16";"tent";2;180.0;"Deluxe tent with hot tub";"pic8.jpg"
46;"Cozy Cabin 11";"cabin";4;215.0;"Cabin with private sauna";"pic8.jpg"
47;"Treehouse Sanctuary 2";"treehouse";2;340.0;"Treehouse with glass floors";"pic4.jpg"
48;"Yurt Adventure 3";"yurt";3;180.0;"Yurt near river";"pic10.jpg"
49;"Luxury Tent 17";"tent";2;165.0;"Tent with mountain views";"pic12.jpg"
50;"кемкмк";"cabin";1;232323.0;"акумкиенткиемуасвцыукмеирте  кеукпааму ";"pic32.jpg"
